origination_year,loan_age_months,credit_tier,fico_score,vantage_score,payment_history_score,credit_history_length_years,num_open_tradelines,num_hard_inquiries_6mo,num_derog_marks,num_collections,bankruptcy_history,prev_auto_loan_delinquency_count,months_since_last_delinquency,annual_income,monthly_income,employment_type,employment_length_years,num_income_sources,loan_amount,loan_term_months,interest_rate_pct,monthly_payment,down_payment_amount,down_payment_pct,current_balance,vehicle_type,vehicle_condition,vehicle_age_at_origination,vehicle_mileage_at_origination,vehicle_value_at_origination,current_vehicle_value,ltv_ratio_origination,current_ltv_ratio,is_underwater,dti_ratio,total_dti_ratio,payment_to_income_ratio,loan_burden_score,times_30_dpd_last_12mo,times_60_dpd_last_12mo,times_90_dpd_ever,max_days_past_due_ever,consecutive_on_time_payments,payment_ratio_actual_vs_required,lender_type,loan_channel,dealer_markup_rate,has_gap_insurance,has_payment_protection,insurance_lapse_indicator,state,state_unemployment_rate,regional_used_car_price_index,origination_rate_environment,is_delinquent_30dpd,is_delinquent
2022,26,Deep Subprime,364,388,89.3,10,16,0,1,0,0,0,,21389,1782.42,Full-time Salaried,4,1,100000,72,15.3,2130.83,10502,0.08,52072.28,Luxury,New,0,0,131276,84016,0.762,0.62,0,0.99,0.99,1.195,65.67,1,1,0,0,15,1.075,Bank,Dealer,1.17,0,0,0,WA,6.6,133.2,6.52,0,0
2019,63,Super Prime,742,771,81.9,10,1,3,1,0,0,1,55.0,277900,23158.33,Contract/Gig,0,1,5094,60,9.68,107.43,1501,0.23,2759.76,Truck,Used,9,80505,6530,6530,0.78,0.423,0,0.005,0.015,0.005,29.03,0,0,0,30,22,1.167,Non-Captive Finance Co.,Dealer,0.96,0,0,1,TX,8.0,113.0,4.65,0,0
2022,33,Super Prime,802,775,94.2,17,13,1,0,0,0,0,,285478,23789.83,Full-time Hourly,2,1,100000,72,1.9,1470.66,22566,0.16,72604.73,Luxury,New,0,0,141038,90264,0.709,0.804,0,0.062,0.189,0.062,25.49,0,0,0,15,27,1.119,Captive (OEM),Online,0.0,0,0,0,PA,7.1,90.1,3.6,0,0
2017,91,Near Prime,636,661,30.4,17,11,0,5,2,1,1,44.0,47659,3971.58,Self-employed,9,1,14007,72,3.35,215.02,398,0.03,4412.26,Truck,Used,5,49570,13284,6642,1.054,0.664,0,0.054,0.099,0.054,54.66,4,0,0,15,18,0.703,Credit Union,Dealer,1.41,0,1,0,WA,8.0,98.4,4.94,1,1
2016,102,Prime,670,675,100.0,4,18,1,0,0,0,3,60.0,55482,4623.5,Unemployed,0,2,6552,84,5.89,95.37,69,0.01,2462.23,SUV,Used,12,96696,6912,6912,0.948,0.356,0,0.021,0.072,0.021,29.28,0,0,1,0,0,1.13,Bank,Direct,0.0,0,0,0,IL,3.9,114.8,6.01,0,0
2020,56,Near Prime,640,629,81.6,19,13,1,1,2,0,0,,53795,4482.92,Full-time Salaried,3,2,14846,36,13.04,500.51,2775,0.17,13328.9,Coupe,Used,2,25688,16328,4802,0.909,2.776,1,0.112,0.385,0.112,37.27,1,0,0,0,1,0.958,Credit Union,Dealer,0.02,0,0,0,TX,4.3,106.5,4.55,1,1
2023,18,Super Prime,813,809,85.9,10,2,2,0,0,1,0,,206188,17182.33,Full-time Salaried,29,1,28805,48,11.38,749.81,278,0.01,11994.87,Luxury,Certified Pre-Owned,4,58228,27865,19903,1.034,0.603,0,0.044,0.133,0.044,37.01,0,2,1,0,6,1.055,Credit Union,Dealer,1.15,0,0,0,OH,6.7,123.6,4.44,0,0
2019,61,Near Prime,633,640,88.2,9,6,5,0,0,0,0,,44301,3691.75,Full-time Salaried,8,2,25140,48,12.81,672.07,2520,0.09,15775.8,Sedan,Used,1,12582,28011,6591,0.898,2.394,1,0.182,0.3,0.182,37.76,1,2,0,0,28,0.837,Credit Union,Dealer,0.71,0,0,0,MI,6.7,106.5,3.36,0,0
2018,83,Near Prime,656,685,54.2,15,16,1,5,0,0,1,14.0,60825,5068.75,Full-time Salaried,7,1,6025,72,10.29,112.5,1589,0.22,3751.25,Sedan,Used,9,116928,7226,7226,0.834,0.519,0,0.022,0.055,0.022,39.64,3,3,1,60,21,1.014,Non-Captive Finance Co.,Online,0.0,0,0,0,FL,8.2,94.9,6.59,1,1
2021,45,Near Prime,654,649,96.0,8,16,2,0,1,0,3,50.0,67414,5617.83,Full-time Salaried,1,1,9213,84,7.91,143.18,1445,0.13,2985.11,Truck,Used,12,162048,11119,11119,0.829,0.268,0,0.025,0.08,0.025,27.07,3,2,0,0,3,0.873,Credit Union,Online,0.0,1,0,0,TN,6.9,129.0,4.38,0,0
2021,37,Near Prime,651,661,100.0,13,9,1,0,0,0,2,8.0,56994,4749.5,Contract/Gig,2,1,6929,36,5.16,208.17,2678,0.27,4465.84,Coupe,Used,7,87682,9919,9919,0.699,0.45,0,0.044,0.116,0.044,22.73,0,0,0,30,4,0.704,Captive (OEM),Direct,0.0,0,0,0,NY,3.4,108.0,7.06,0,0
2023,18,Prime,715,709,95.9,4,9,1,0,0,0,0,,95681,7973.42,Self-employed,2,1,23665,72,5.4,385.53,3992,0.14,20510.76,Luxury,Used,12,122496,28520,28520,0.83,0.719,0,0.048,0.133,0.048,28.05,0,0,2,30,8,0.756,Bank,Online,0.0,1,1,1,CA,5.5,86.3,7.48,0,0
2021,42,Near Prime,652,657,100.0,6,5,3,0,0,0,3,64.0,52828,4402.33,Unemployed,0,3,51782,84,11.2,892.09,14892,0.24,38910.94,SUV,New,0,0,62054,37852,0.834,1.028,1,0.203,0.663,0.203,33.14,0,0,1,60,28,0.965,Credit Union,Direct,0.0,0,1,0,IL,7.3,88.8,3.91,0,0
2017,91,Super Prime,720,746,78.4,4,12,1,0,3,0,0,,273657,22804.75,Full-time Hourly,11,1,11504,60,4.54,214.68,1324,0.11,7945.11,Electric,Used,7,92190,12045,12045,0.955,0.66,0,0.009,0.024,0.009,35.49,0,0,0,30,0,0.77,Captive (OEM),Dealer,2.31,1,0,0,OH,4.4,87.6,5.55,0,0
2016,100,Subprime,599,602,72.1,19,6,3,0,0,1,0,,41192,3432.67,Retired,0,1,18692,72,14.32,388.37,2409,0.11,14373.83,Sedan,New,0,0,21904,4380,0.853,3.282,1,0.113,0.357,0.113,38.48,0,1,0,0,9,1.029,Credit Union,Dealer,0.72,0,1,0,CO,5.2,90.0,6.27,0,0
2020,51,Near Prime,655,663,66.7,4,2,0,3,0,0,1,33.0,49991,4165.92,Contract/Gig,1,1,27637,72,9.08,499.27,9826,0.27,11230.5,Truck,Used,4,44152,36395,13998,0.759,0.802,0,0.12,0.305,0.12,37.56,1,0,0,30,0,0.736,Non-Captive Finance Co.,Direct,0.0,0,0,0,NY,7.9,111.3,5.2,0,0
2017,91,Super Prime,817,845,92.2,10,10,3,0,0,0,0,,256839,21403.25,Full-time Salaried,3,2,52827,84,3.8,717.23,2701,0.05,39985.01,Coupe,New,0,0,54033,10806,0.978,3.7,1,0.034,0.106,0.034,33.04,0,0,0,0,15,0.803,Credit Union,Dealer,0.2,0,0,0,TX,7.2,92.8,7.62,0,0
2022,36,Near Prime,631,617,100.0,13,10,1,0,0,0,3,51.0,44567,3713.92,Full-time Hourly,1,1,10507,24,6.75,469.24,3570,0.25,3199.53,Luxury,Used,10,135450,14281,14281,0.736,0.224,0,0.126,0.281,0.126,27.12,1,1,1,0,13,1.032,Bank,Online,0.0,0,0,0,WA,4.2,96.3,4.21,0,0
2017,92,Subprime,616,594,100.0,14,13,1,0,1,0,0,,29086,2423.83,Retired,0,2,8930,24,13.38,426.14,705,0.07,8256.55,Sedan,Used,3,29877,10080,3665,0.886,2.253,1,0.176,0.331,0.176,33.62,0,0,0,0,34,1.167,Non-Captive Finance Co.,Online,0.0,0,1,0,MI,7.8,134.6,5.36,0,0
2020,60,Near Prime,636,662,35.9,16,16,1,5,1,1,1,28.0,61381,5115.08,Contract/Gig,1,1,29750,60,6.45,581.4,9893,0.26,20785.44,Sedan,New,0,0,38051,9512,0.782,2.185,1,0.114,0.219,0.114,47.25,0,0,0,0,1,1.154,Credit Union,Dealer,0.17,0,0,0,TN,7.4,117.1,3.12,0,0
2024,9,Super Prime,798,790,100.0,23,5,0,0,1,0,0,,179380,14948.33,Full-time Salaried,3,2,34204,60,1.9,598.02,12410,0.27,22420.4,Truck,New,0,0,45964,45964,0.744,0.488,0,0.04,0.122,0.04,23.92,0,0,2,15,1,0.768,Credit Union,Dealer,0.43,1,1,0,WA,6.3,87.4,5.49,0,0
2016,105,Subprime,601,575,88.9,13,14,2,1,0,0,1,30.0,53440,4453.33,Retired,0,1,65257,48,15.7,1839.39,5108,0.07,56755.13,Luxury,New,0,0,72972,14594,0.894,3.889,1,0.413,0.99,0.413,46.67,3,0,2,120,33,1.058,Non-Captive Finance Co.,Direct,0.0,0,0,0,CA,3.3,102.4,6.49,0,0
2019,68,Near Prime,627,657,92.0,7,9,1,0,1,0,0,,40836,3403.0,Full-time Salaried,1,1,19731,48,12.49,524.35,1182,0.06,14009.9,Truck,Used,5,49080,19716,9858,1.001,1.421,1,0.154,0.522,0.154,38.59,0,2,3,0,8,1.143,Non-Captive Finance Co.,Dealer,0.77,0,0,0,TX,4.5,87.4,6.19,1,1
2015,109,Super Prime,782,757,100.0,2,11,0,0,0,0,1,12.0,191587,15965.58,Part-time,0,1,30403,48,7.37,733.27,3117,0.1,13728.56,Coupe,New,0,0,31178,6235,0.975,2.202,1,0.046,0.101,0.046,31.09,0,0,0,15,31,0.931,Credit Union,Online,0.0,0,0,0,CA,3.7,102.1,8.18,0,0
2015,109,Deep Subprime,485,496,90.4,5,10,3,0,0,0,1,28.0,22936,1911.33,Full-time Salaried,13,1,28020,72,15.35,597.82,10154,0.27,15816.82,SUV,New,0,0,37611,7522,0.745,2.103,1,0.313,0.928,0.313,37.75,1,0,0,120,1,0.757,Captive (OEM),Dealer,0.3,0,0,0,AZ,8.3,98.7,4.53,1,1
2020,53,Super Prime,772,777,82.2,14,4,0,0,3,0,1,60.0,128509,10709.08,Full-time Hourly,6,1,10214,84,3.69,138.16,549,0.05,3822.2,SUV,Used,9,82566,10996,10996,0.929,0.348,0,0.013,0.019,0.013,33.73,0,0,0,0,5,0.883,Non-Captive Finance Co.,Direct,0.0,0,0,1,FL,7.6,97.3,4.9,0,0
2017,86,Prime,682,711,65.8,5,16,3,3,0,0,0,,70973,5914.42,Full-time Salaried,2,1,14172,48,7.46,342.4,2554,0.16,11231.95,Electric,Used,7,58191,15967,15967,0.888,0.703,0,0.058,0.133,0.058,39.22,1,1,1,0,3,1.019,Bank,Online,0.0,1,0,0,TX,5.5,87.6,4.88,1,1
2021,43,Prime,669,694,81.8,12,2,0,0,0,1,0,,71585,5965.42,Unemployed,0,1,20432,24,4.5,891.81,5800,0.22,16803.1,Van,Used,2,18776,26368,10986,0.775,1.53,1,0.149,0.275,0.149,34.67,0,2,0,60,0,0.791,Bank,Direct,0.0,1,1,0,PA,3.5,102.0,6.59,0,0
2022,30,Super Prime,751,751,48.9,14,9,4,3,2,0,0,,163308,13609.0,Full-time Salaried,1,2,5000,60,1.9,87.42,1453,0.29,2092.7,Coupe,Used,5,70125,5011,5011,0.998,0.418,0,0.006,0.015,0.006,45.51,0,0,1,0,22,1.021,Credit Union,Dealer,1.95,0,0,0,AZ,7.4,124.4,8.29,1,1
2019,71,Subprime,585,588,87.9,11,16,3,0,0,0,0,,48856,4071.33,Unemployed,0,1,6246,84,12.23,111.03,859,0.12,3189.03,Van,Used,8,110136,7161,7161,0.872,0.445,0,0.027,0.067,0.027,30.87,2,0,2,15,18,1.157,Bank,Direct,0.0,0,0,0,MI,3.2,102.9,8.43,0,0
2024,8,Near Prime,647,668,85.8,5,13,1,1,0,0,2,71.0,55411,4617.58,Contract/Gig,0,1,13068,72,9.03,235.75,1859,0.13,11758.02,Electric,Used,11,159368,14300,14300,0.914,0.822,0,0.051,0.089,0.051,33.72,1,0,1,15,8,1.153,Captive (OEM),Dealer,1.89,1,0,0,NY,3.2,105.8,7.83,1,1
2023,20,Super Prime,800,800,94.1,7,16,0,0,1,0,3,26.0,270090,22507.5,Full-time Salaried,1,1,5796,72,4.89,93.05,59,0.01,2660.71,Van,Used,8,85216,5944,5944,0.975,0.448,0,0.004,0.012,0.004,31.18,0,0,1,0,20,0.709,Credit Union,Online,0.0,0,1,0,TX,7.3,120.6,7.19,1,1
2020,52,Subprime,586,576,71.6,9,4,3,3,0,0,1,29.0,33613,2801.08,Full-time Salaried,4,3,17012,84,17.9,356.56,7031,0.29,10313.97,Sedan,Certified Pre-Owned,2,17210,24245,6927,0.702,1.489,1,0.127,0.22,0.127,34.66,0,0,0,0,29,0.737,Non-Captive Finance Co.,Dealer,1.91,0,0,1,FL,6.3,132.6,4.88,1,1
2018,81,Prime,664,670,98.0,11,16,0,0,1,0,0,,98840,8236.67,Full-time Salaried,4,2,19472,60,4.53,363.28,5969,0.23,14654.79,Sedan,New,0,0,25955,5191,0.75,2.823,1,0.044,0.143,0.044,24.86,2,0,0,30,1,1.14,Credit Union,Direct,0.0,0,0,0,CA,5.5,124.1,3.31,1,1
2019,69,Prime,693,713,76.3,4,16,2,0,0,1,0,,80984,6748.67,Full-time Salaried,3,3,9573,84,4.4,132.62,2890,0.23,8927.28,Truck,Certified Pre-Owned,8,107856,12569,12569,0.762,0.71,0,0.02,0.036,0.02,30.77,0,0,0,0,6,0.923,Credit Union,Dealer,1.22,1,1,0,GA,2.9,96.4,3.61,0,0
2024,3,Super Prime,785,768,94.4,4,9,3,0,0,0,0,,262361,21863.42,Full-time Salaried,1,1,39059,72,3.76,606.82,5444,0.12,36857.15,Truck,Certified Pre-Owned,2,24692,45367,45367,0.861,0.812,0,0.028,0.068,0.028,28.63,0,0,0,0,2,1.129,Captive (OEM),Dealer,0.07,0,0,0,MI,5.5,124.1,3.77,0,0
2016,102,Prime,712,697,55.8,17,8,0,3,0,1,3,65.0,99710,8309.17,Part-time,4,1,30120,36,4.58,897.05,8812,0.23,22850.82,Sedan,New,0,0,38315,7663,0.786,2.982,1,0.108,0.221,0.108,41.16,0,0,3,0,23,0.814,Captive (OEM),Dealer,0.69,1,0,0,AZ,7.6,112.2,3.65,0,0
2022,32,Prime,712,707,100.0,8,17,1,0,0,0,3,61.0,67830,5652.5,Part-time,2,1,8689,72,2.71,130.89,2847,0.24,5294.38,SUV,Used,9,94113,11866,11866,0.732,0.446,0,0.023,0.058,0.023,22.88,0,0,0,90,28,0.973,Fintech,Online,0.0,1,0,0,CO,6.7,123.4,5.59,0,0
2015,115,Prime,670,689,76.1,6,5,0,3,0,0,0,,81441,6786.75,Full-time Salaried,5,2,11563,60,6.97,228.8,598,0.05,6030.07,SUV,Used,8,112528,11977,11977,0.965,0.503,0,0.034,0.11,0.034,37.48,0,2,0,60,12,1.027,Credit Union,Online,0.0,1,0,1,PA,4.3,109.6,4.05,1,1
2023,18,Prime,666,684,63.3,5,3,4,1,0,1,0,,83860,6988.33,Part-time,0,1,20870,84,4.34,288.55,4798,0.2,12716.47,Luxury,Used,5,49365,23994,23994,0.87,0.53,0,0.041,0.093,0.041,38.75,0,0,3,0,14,1.003,Bank,Dealer,0.31,1,1,0,CA,5.5,100.9,4.87,1,1
2018,81,Subprime,599,626,76.7,4,9,3,0,3,0,0,,31723,2643.58,Retired,0,1,5000,60,16.24,122.23,1316,0.21,3871.76,Van,Used,8,116400,6270,6270,0.797,0.618,0,0.046,0.079,0.046,32.74,0,0,0,15,17,1.081,Non-Captive Finance Co.,Direct,0.0,0,0,0,FL,4.4,113.0,6.35,1,1
2021,47,Near Prime,639,660,98.4,3,15,0,0,0,0,1,51.0,58740,4895.0,Full-time Salaried,12,1,22101,72,6.92,375.95,9181,0.29,14893.56,SUV,Used,1,13655,31661,17468,0.698,0.853,0,0.077,0.185,0.077,24.5,0,0,0,15,28,0.948,Credit Union,Dealer,0.25,0,0,1,CA,6.8,97.0,4.36,0,0
2020,58,Super Prime,802,779,100.0,0,16,1,0,0,0,2,53.0,299241,24936.75,Retired,0,1,34144,48,3.12,757.57,8789,0.22,21358.62,Sedan,New,0,0,39952,15980,0.855,1.337,1,0.03,0.052,0.03,26.85,4,0,0,0,20,1.085,Non-Captive Finance Co.,Dealer,1.83,1,0,0,FL,5.5,124.9,3.75,1,1
2015,120,Super Prime,835,850,69.2,9,16,5,2,0,0,0,,130328,10860.67,Part-time,13,1,18080,60,1.9,316.11,876,0.05,9958.21,SUV,Used,5,53725,17532,10018,1.031,0.994,0,0.029,0.071,0.029,41.33,0,0,0,30,5,0.804,Credit Union,Direct,0.0,0,0,0,NC,4.2,95.0,6.64,1,1
2017,93,Super Prime,784,758,100.0,15,7,0,0,0,0,0,,81926,6827.17,Full-time Salaried,3,1,11755,72,6.63,198.33,2542,0.19,6479.28,Truck,Used,10,101850,13379,13379,0.879,0.484,0,0.029,0.053,0.029,27.53,1,3,1,0,24,0.876,Captive (OEM),Direct,0.0,1,1,0,OH,5.8,90.7,7.42,1,1
2023,19,Super Prime,749,724,100.0,8,6,1,0,2,0,2,27.0,195688,16307.33,Unemployed,0,2,26007,60,9.51,546.32,7190,0.22,9211.81,SUV,New,0,0,32683,28434,0.796,0.324,0,0.034,0.071,0.034,25.24,0,0,0,0,17,0.938,Bank,Direct,0.0,0,0,0,PA,7.4,91.3,7.29,1,1
2024,3,Near Prime,622,596,64.3,21,8,1,5,0,0,2,54.0,60987,5082.25,Full-time Hourly,2,2,29773,72,5.61,487.96,7586,0.2,16572.45,SUV,New,0,0,37934,37934,0.785,0.437,0,0.096,0.199,0.096,38.1,0,0,0,90,1,0.98,Credit Union,Direct,0.0,0,0,1,NC,3.4,131.6,3.35,1,1
